Rom	Game Title (Optimized)	Recommended Emulator	Pi 3B+ (OC 1700)	FPS	Visuals	Audio	Controls	Notes
sharkatt	Shark Attack	lr-fbneo	o	o	o	o	o	Download/install samples
sharrier	Space Harrier	lr-fbneo	o	o	o	o	o	Set to 2003 (standard) for best analog control
shdancer	Shadow Dancer	lr-fbneo	o	o	o	o	o	
sheriff	Sheriff	lr-mame2015	o	o	o	o	o	Old Nintendo game and maybe the oldest dual-joystick game? R-stick was actually a digital spinner -- like Ikari Warriors. Recommend mapping L-analog for movement. R-analog for aim and Trigger(s) for shoot. 2015! 2016/lr-mame don't map R-stick properly.
shienryu	Shienryu	advmame	x	o	o	x	o	Sega Titan. Use advmame Magnification 2. Sound is tinny with AdvMAME on Pi4
shimpact	Super High Impact	lr-fbneo	o	o	o	o	o	
shinobi	Shinobi	lr-fbneo	o	o	o	o	o	
shisen	[Adult] Match It	lr-fbneo	o	o	o	o	o	
shngmtkb	Shanghai Matekibuyuu	lr-mame2016	!	o	o	o	o	
shocking	Shocking	lr-fbneo	o	o	o	o	o	
shocktr2	Shock Troopers: 2nd Squad	lr-fbneo	o	o	o	o	o	NEO-GEO
shocktro	Shock Troopers	lr-fbneo	o	o	o	o	o	NEO-GEO Clone: (lans2004)
shogwarr	Shogun Warriors	lr-fbneo	o	o	o	o	o	Clone (fjbuster)
shollow	Satan's Hollow	lr-fbneo	o	o	o	o	o	
shootbul	Shoot the Bull	lr-mame	o	o	o	o	tb	Darts. Trackball really a necessity here.
shootgal	Shooting Gallery	lr-mame2016	o	o	o	o	lg	2016 required, or game cannot be played
shootout	Shoot Out	lr-fbneo	o	o	o	o	o	
shougi	Shougi	lr-mame2016	o	o	o	o	o	
shougi2	Shougi II	lr-mame2016	o	o	o	o	o	
showdown	Showdown	lr-mame2016	o	o	o	o	lg	Poker with lightgun.
shpeng	Sea Hunter Penguin	lr-mame2016	o	o	o	o	o	
shrike	[Proto] Shrike Avenger	lr-mame2016	o	o	o	o	?	Bally Sente. Need to investigate mapping buttons to controls (eg. Seat Buttons to Start)
shtrider	Shot Rider	lr-fbneo	o	o	o	o	o	
shuffle	Shuffleboard	lr-mame2016	o	o	o	o	tb	Use a trackball to enjoy this one
shufshot	Shuffleshot	lr-fbneo	o	o	o	o	tb	
shuttlei	Shuttle Invader	lr-mame2016	o	o	o	o	o	
shuuz	Shuuz	lr-fbneo	o	o	o	o	tb	
sia2650	Super Invader Attack	lr-mame2016	o	o	o	x	o	Some missing audio
sicv	Space Invaders (CV)	lr-mame2016	o	o	o	o	o	
sidearms	Side Arms	lr-fbneo	o	o	o	o	o	
sidepckt	Side Pocket	lr-fbneo	o	o	o	o	o	
sidetrac	Side Trak	lr-mame2016	o	o	o	o	o	
silentd	Silent Dragon	lr-fbneo	o	o	o	o	o	
silkroad	Legend of Silkroad, The	lr-fbneo	o	o	o	o	o	
silkworm	Silk Worm	lr-fbneo	o	o	o	o	o	
silvmil	Silver Millenneum	lr-fbneo	o	o	o	o	o	
simpsons	Simpsons, The	lr-fbneo	o	o	o	o	o	Might need to manually configure for 3p and 4p
sindbadm	Sindbad Mystery	lr-mame2016	o	o	o	o	o	
sinistar	Sinistar	lr-fbneo	o	o	o	o	o	Uses 2003 for full advantage of Sinistar's 49 directional stick
sjryuko	White Board	lr-mame	o	o	o	o	o	Mahjong. Runs with fbneo, but no keyboard support. Using lr-mame.
skimaxx	Skimaxx	lr-mame2010	!	-	o	o	-	A little under framerate w/OC Pi4B. No other emulator handles skimaxx better at this time. Can't seem to set game controls without 2010 crashing, so can't properly configure analog controls. Can only tune/use Analog settings for digital control.
skullfng	Skull Fang	lr-fbneo	o	o	o	o	o	
skullxbo	Skull & Crossbones	lr-fbneo	o	o	o	o	o	
skyadvnt	Sky Adventure	lr-fbneo	o	o	o	o	o	
skyalert	Sky Alert	lr-fbneo	o	o	o	o	o	
skyarmy	Sky Army	lr-fbneo	o	o	o	o	o	
skybase	Sky Base	lr-fbneo	o	o	o	o	o	
skybump	Sky Bumper	lr-mame2016	o	o	o	o	o	Extremely close to looping, but it's not technically a clone.
skychut	Sky Chuter	lr-mame2016	o	o	o	x	o	No audio with any emulator
skydiver	Sky Diver	lr-mame2016	o	o	o	o	o	Software color overlay
skyfox	Sky Fox	lr-fbneo	o	o	o	o	o	Clone: (exerizer)
skykid	Sky Kid	lr-fbneo	o	o	o	o	o	
skykiddx	Sky Kid Deluxe	lr-fbneo	o	o	o	o	o	
skylancr	Sky Lancer	lr-fbneo	o	o	o	o	o	
skylove	Sky Love	lr-mame2016	o	o	o	x	o	Some key sounds missing
skyraid	Sky Raider	lr-mame	o	o	o	o	o	Sound works with 2015 and lr-mame, but not 2016..
skyrobo	Sky Robo	lr-fbneo	o	o	o	o	o	Clone: Tatakae! Big Fighter (bigfghtr)
skyskipr	Sky Skipper	lr-fbneo	o	o	o	o	o	
skysmash	Sky Smasher	lr-fbneo	o	o	o	o	o	
skysoldr	Sky Soldiers	lr-fbneo	o	o	o	o	o	
slammast	Saturday Night Slam Masters	lr-fbneo	o	o	o	o	o	
slapshot	Slap Shot	lr-fbneo	o	o	o	o	o	Airhockey...
slapshtr	Slap Shooter	lr-fbneo	o	o	o	o	o	
slikshot	Slick Shot	lr-mame2016	o	o	o	o	-	Arcade used a real, physical cue. There is no visual indication of aim in MAME, as this would have to be simulatred
slipstrm	Slipstream	lr-mame2016	x	o	o	o	o	
slither	Slither	lr-fbneo	o	o	o	o	tb	
sliver	[Adult] Sliver	lr-mame	o	o	o	o	o	
slspirit	Solite Spirits	lr-fbneo	o	o	o	o	o	
slyspy	Sly Spy	lr-fbneo	o	o	o	o	o	Parent: (secretag)
smashtv	Smash T.V.	lr-fbneo	o	o	o	o	o	
smgolf	Vs. Stroke & Match Golf	lr-mame2016	o	o	o	o	o	
smgp	Super Monaco GP	lr-fbneo	o	o	o	o	o	
snakepit	Snake Pit	lr-mame2015	o	o	o	o	tb	Bally Sente; Use a trackball or it'll feel too fast.
snakjack	Snacks'N Jaxson	lr-mame2016	o	o	o	o	o	Bally Sente
snapjack	Snap Jack	lr-fbneo	o	o	o	o	o	
snapper	Snapper (Korea)	lr-fbneo	o	o	o	o	o	
snowboar	Snow Board Championship	lr-fbneo	o	o	o	o	o	Cool, fast, good-looking game
snowbro2	Snow Bros. 2	lr-fbneo	o	o	o	o	o	
snowbro3	Snow Brothers 3	lr-fbneo	o	o	o	o	o	
snowbros	Snow Bros.	lr-fbneo	o	o	o	o	o	Clone (wintbob)
socbrawl	Soccer Brawl	lr-fbneo	o	o	o	o	o	NEO-GEO
soccer	Atari Soccer	lr-mame	o	o	o	o	o	
soccerss	Soccer Superstars	lr-mame2010	!	x	-	o	o	Dual monitor, but use one. 2015/16 can't create a proper EEPROM (via F2/F3). 2010/lr-mame can. 2010 wins, but performance lags a bit. Graphic issues in UX, but doesn't affect gameplay
sokonuke	Sokonuke Taisen Game	lr-fbneo	o	o	o	o	o	
sokyugrt	Terra Diver	advmame	x	o	-	o	o	Sega Titan. Raizing shooter. Magnification 3. Some artifacts in the launch bay, but gameplay looks good
solarfox	Solar Fox	lr-fbneo	o	o	o	o	o	Good stereo sound
solarq	Solar Quest	lr-mame	o	o	o	o	o	Download/install samples
solarwar	Solar War	lr-mame2016		o	o	o	o	Not to be confused with Solar-Warrior (xsleena). This is an old pinball that requires overlay, or it's pretty worthless
soldam	Soldam	lr-fbneo	o	o	o	o	o	Clone (soldamj) Tetris meets Othello?
soldivid	Sol Divide	lr-fbneo	o	o	o	o	o	Awesome! Battles feel like a real-time Final Fantasy fights
solfigtr	Solitary Fighter	lr-fbneo	o	o	o	o	o	
solomon	Solomon's Key	lr-fbneo	o	o	o	o	o	
solvalou	Solvalou	lr-mame2003-Plus	x	o	x	o	o	Missing sky & water with 2003/2003-Plus, but renders full speed. Other emulators can't handle FPS
sonic	Segasonic the Hedgehog	lr-mame2016	x	o	o	o	tb	
sonicbom	Sonic Boom	lr-fbneo	o	o	o	o	o	
sonicwi2	Aero Fighters 2	lr-fbneo	o	o	o	o	o	NEO-GEO
sonicwi3	Aero Fighters 3	lr-fbneo	o	o	o	o	o	NEO-GEO (set dip switch to NVS/USA for Aero Fighters title)
sonson	Son Son	lr-fbneo	o	o	o	o	o	
sos	SOS	lr-fbneo	o	o	o	-	o	Annoying buzz/plane sound. No explosion sounds. By design?
sosterm	S.O.S.	lr-mame2016	o	o	o	o	o	
sothello	Super Othello	lr-mame2016	o	o	o	o	o	
sotsugyo	Sotsugyo Shousho	lr-fbneo	o	o	o	o	o	
souledge	Soul Edge Ver. II	lr-mame2003-Plus	x	o	o	x	o	No audio. Only plays well with lr-mame2003 series. Ensure correct ROMset is used.
spacbeam	Space Beam	lr-mame2016	o	o	o	x	o	No audio with any emulator
spacduel	Space Duel	lr-mame	o	o	o	o	o	
spacecho	Space Echo	lr-fbneo	o	o	o	o	o	
spacecr	Space Cruiser	lr-fbneo	o	o	o	o	o	
spacedx	Space Invaders DX	lr-fbneo	o	o	o	o	o	
spacefb	Space Firebird	lr-fbneo	o	o	o	o	o	Clone: (spacebrd, spacedem, starwarr) Early Nintendo game Download/install samples
spacefev	Space Fever	lr-mame2016	o	o	o	o	o	Will need to use keyboard or map GAME-A, B, and C to buttons. Tip: It's safe to duplicate/map existing fire buttons to GAME buttons
spacefrt	Space Fortress	lr-mame2016	o	o	o	x	o	That firing sound.  lol. It's wrong with all emulators. Video snaps sound good. ARM only issue?
spaceg	Space Guerrilla	lr-mame	o	o	o	o	o	Need recent lr-mame and updated ROM for audio
spacegun	Space Gun	lr-fbneo	o	o	o	o	lg	
spaceint	Space Intruder	lr-mame2016	o	o	x	o	o	Inaccurate colors
spaceod	Space Odyssey	lr-mame2016	o	o	o	o	o	Download/install samples
spaceskr	Space Seeker	lr-fbneo	o	o	o	o	o	
spacetrk	Space Trek	lr-mame	o	o	o	x	o	No audio. Ship doesn't render with 2016
spacewar	Space War	lr-mame	o	o	o	o	o	Use keyboard to select 0-9. Watch buttons in art. They move. Download/install samples
spacezap	Space Zap	lr-mame2016	o	o	o	o	o	The original "Cosmic Ark"
spacfury	Space Fury	lr-mame	o	o	o	-	o	A little shakey in the VO
spacwalk	Space Walk	lr-mame2016	o	o	o	o	sp	
spang	Super Pang	lr-fbneo	o	o	o	o	o	Clone: (mstworld)
sparkman	Spark Man	lr-fbneo	o	o	o	o	o	
sparkz	[Proto] Dr Sparkz Lab	lr-fbneo	o	o	o	o	o	
spatter	Spatter	lr-fbneo	o	o	o	o	o	Clone: (ssanchan)
spbactn	[Adult] Super Pinball Action	lr-mame	o	o	o	o	o	
spcenctr	Space Encounters	lr-mame2016	o	o	o	o	sp	An early trench runner
spcforce	Space Force	lr-mame2016	o	o	x	o	o	Imperfect colors, but good
spcfrcii	Special Forces II	lr-mame2016	o	o	o	x	o	Plays a single mario jump sound at title, then no audio with any emulator
spcinv95	Space Invaders '95	lr-fbneo	o	o	o	o	o	
spcking2	Space King-2	lr-mame2016	o	o	o	o	o	Rip off (bootleg) of Space Invaders by Konami! Only reason I'm keeping this in my collection.
spclaser	Space Laser	lr-mame2016	o	o	o	o	o	Parent: (spcewarl)
spclforc	Special Forces	lr-mame2016	o	o	o	x	o	Plays a single mario jump sound at title, then no audio with any emulator
spclords	Space Lords	lr-mame	x	o	o	o	o	Works only with lr_mame
spcpostn	Space Position	lr-fbneo	o	o	o	o	o	
spdball	[Proto] Speed Ball Congtest At Neonworld	lr-mame2016	o	o	o	o	o	2P game
spdcoin	[Proto] Speed Coin	lr-fbneo	o	o	o	o	o	
spdodgeb	Super Dodge Ball (Technos 1987)	lr-fbneo	o	o	o	o	o	
speakres	Speak & Rescue	lr-fbneo	o	o	o	-	o	Voice is inaccurate. Stratovox is correct.
spec2k	Spectrum 2000	lr-fbneo	o	o	o	o	o	Clone: (firehawk)
spectar	Spectar	lr-mame2016	o	o	o	o	o	
speedatk	Speed Attack!	lr-mame2016	o	o	o	o	kb	Use keyboard, or remap 7 buttons
speedbal	Speed Ball	lr-fbneo	o	o	o	o	o	added L/R bumpers as flippers.
speedfrk	Speed Freak	lr-mame	o	o	o	o	o	Download/install samples
speedrcr	Speed Racer	lr-mame2015	!	x	!	o	o	Can't add coins with 2016 or lr-mame. 2010/2015 are a mess. But it's Speed-freakin'-Racer. Keeping in case it gets fixed in lr-mame. Looks like 2016 and even lr-mame can handle the framerate. In the meantime, 2015 or 2010 can be used, but with major visual issues.
speedspn	Speed Spin	lr-fbneo	o	o	o	o	o	
speedup	Speed Up	lr-mame2016	!	x	o	o	o	Too slow. But interesting game. Use F2 to calibrate options, esp. steering wheel centering. Read instructions while in test screens for how to Save and Exit
speglsht	Super Eagle Shot	lr-mame2016	!	o	o	o	o	
spelunk2	Spelunker II	lr-fbneo	o	o	o	o	o	
spelunkr	Spelunker	lr-fbneo	o	o	o	o	o	
spf2t	Super Puzzle Fighter II Turbo	lr-fbneo	o	o	o	o	o	
spfghmk2	Space Fighter Mark II	lr-mame2016	o	o	o	x	o	No audio with any emulator
spiders	Spiders	lr-mame2016	o	o	o	o	o	
spidman	Spider-Man	lr-mame2016	x	o	o	o	o	
spiker	Spiker	lr-mame2016	o	o	o	o	o	Bally Sente
spinlbrk	Spinal Breakers	lr-fbneo	o	o	o	o	o	
spinmast	Spinmaster	lr-fbneo	o	o	o	o	o	NEO-GEO
spitboss	Super Pit Boss	lr-mame2016	o	o	o	o	kb	Use keyboard or remap buttons
splash	[Adult] Splash	lr-mame2016	o	o	o	o	o	Audio issues with lr-mame
splat	Splat!	lr-fbneo	o	o	o	o	o	
splatter	Splatterhouse	lr-fbneo	o	o	o	o	o	
splndrbt	Splendor Blast	lr-mame2016	o	o	o	o	o	Like F-Zero. Well ahead of its time.
spnchout	Super Punch-Out!!	lr-fbneo	o	o	o	o	o	
spotty	Spotty	lr-fbneo	o	o	o	o	o	
sprcros2	Super Cross II	lr-fbneo	o	o	o	o	o	
springer	Springer	lr-fbneo	o	o	o	o	o	
sprint1	Sprint	lr-mame2016	o	o	o	o	o	Will need to remap shift controls, unless you want the keyboard/gamepad hybrid
sprint2	Sprint 2	lr-mame2016	o	o	o	o	o	Will need to remap shift controls, unless you want the keyboard/gamepad hybrid
sprint4	Sprint 4	lr-mame2016	o	o	o	o	o	Will need to remap shift controls, unless you want the keyboard/gamepad hybrid
sprint8	Sprint 8	lr-mame2016	o	o	o	o	o	Remember to remap "Select Track" or you'll need a keyboard
sprint8a	Sprint 8 (Play Tag and Chase)	lr-mame2016	o	o	o	o	o	
sprtauth	Sports Authority	lr-mame2016	o	o	o	o	kb	Use keyboard, or remap buttons
sprtmtch	Sports Match	lr-mame2016	o	o	o	o	o	
spy	S.P.Y.	lr-fbneo	o	o	o	o	o	Clone: (spyu)
spyhunt	Spy Hunter	lr-fbneo	o	o	o	o	o	Set analog speed to 100% for accelerator to function
spyhunt2	Spy Hunter II	lr-mame2016	o	o	o	o	-	Dual Monitor Support. Very tricky controls. One idea is to map L/R to pairs of weapons for simplicity
sqbert	[Proto] Q*Bert: Faster, Harder, More Challenging	lr-fbneo	o	o	o	o	o	
sqix	Super Qix	lr-mame2016	o	o	o	o	o	
squaitsa	Squash (Itisa)	lr-fbneo	o	o	o	o	o	
squash	Squash (Gaelco)	lr-fbneo	o	o	o	o	o	
sraider	Space Raider	lr-fbneo	o	o	o	o	o	
sranger	Super Ranger	lr-fbneo	o	o	o	o	o	
srdarwin	SRD	lr-fbneo	o	o	o	o	o	
srdmissn	S.R.D. Mission	lr-fbneo	o	o	o	o	o	Clone: (fx)
srmp2	[Adult] Super Real Mahjong Part 2	lr-mame	o	o	o	o	kb	On maiden launch, restart after "ERR BACK UP" appears.
srmp3	[Adult] Super Real Mahjong Part 3	lr-mame	o	o	o	o	kb	On maiden launch, "Err Back Up" will eventually go away.
srmp4	[Adult] Super Real Mahjong Part 4	lr-fbneo	o	o	o	o	kb	
srmp7	[Adult] Super Real Mahjong P7	lr-fbneo	o	o	o	o	kb	
srumbler	Speed Rumbler	lr-fbneo	o	o	o	o	o	Clone: (rushcrsh)
ssf2	Super Street Fighter II	lr-fbneo	o	o	o	o	o	
ssf2t	Super Street Fighter II Turbo	lr-fbneo	o	o	o	o	o	
ssfindo	See See Find Out	lr-mame2016	!	x	o	x	o	No sound
sshangha	Super Shanghai Dragon's Eye	lr-fbneo	o	o	o	o	o	
sshooter	Sharpshooter	lr-mame2016	!	o	o	o	o	
ssi	Super Space Invaders '91	lr-fbneo	o	o	o	o	o	
ssideki	Super Sidekicks	lr-fbneo	o	o	o	o	o	NEO-GEO
ssideki2	Super Sidekicks 2	lr-fbneo	o	o	o	o	o	NEO-GEO
ssideki3	Super Sidekicks 3	lr-fbneo	o	o	o	o	o	NEO-GEO
ssideki4	Ultimate 11, The	lr-fbneo	o	o	o	o	o	NEO-GEO
ssingles	[Adult] Swinging Singles	lr-mame	o	o	o	x	o	Audio popping issue with all emus
sslam	Super Slam	lr-mame2016	o	o	o	o	o	
ssmissin	S.S. Mission	lr-fbneo	o	o	o	o	o	
ssoldier	Superior Soldiers	lr-fbneo	o	o	o	o	o	Clone: (psoldier)
ssozumo	Syusse Oozumou	lr-fbneo	o	o	o	o	o	Sumo wrestling
sspacaho	Space Attack / Head On	lr-mame2016	o	o	o	x	o	No audio with any emulator
sspaceat	Space Attack	lr-mame2016	o	o	o	x	o	No audio with any emulator
sspeedr	Super Speed Race	lr-mame2015	o	o	o	x	-	No sound with any emulator. Leverages software scoring/timer with MAME 2015 and above. Use d-pad for control. Easier than analog...
sspirits	Scramble Spirits	lr-fbneo	o	o	o	o	o	
ssprint	Super Sprint	lr-mame2016	o	o	o	o	o	
ssriders	Sunset Riders	lr-fbneo	o	o	o	o	o	
ssrj	Super Speed Race Junior	lr-fbneo	o	o	o	o	o	
sstingry	Super Stingray	lr-fbneo	o	o	o	o	o	
sstrangr	Space Stranger	lr-fbneo	o	o	o	o	o	
sstrike	Super Strike	lr-mame2016	o	o	o	o	o	All working, but interface issue. There is no 'bowler' position representation, so you won't know where the starting position is. Arcade game, you actually roll a cue ball down a lane towards the monitor.
sstriker	Sorcer Striker	lr-fbneo	o	o	o	o	o	Raizing Clone: (mahoudai)
stactics	Space Tactics	lr-mame2016	o	o	o	x	o	No audio. MAME software art is being used for score and such.
stadhero	Stadium Hero	lr-fbneo	o	o	o	o	o	
stadhr96	Stadium Hero '96	lr-fbneo	o	o	o	o	o	
stagger1	Stagger I	lr-fbneo	o	o	o	o	o	Clone: (redhawk)
stakwin	Stakes Winner	lr-fbneo	o	o	o	o	o	NEO-GEO
stakwin2	Stakes Winner 2	lr-fbneo	o	o	o	o	o	NEO-GEO
starblad	Starblade	lr-mame2016	!	x	o	o	o	11fps... US version on 2003-Plus. This one on 2016 and with a different gen of ROM for a complete visual. Can't hold framerate on a Pi 3B+. 35 FPS on Pi 4B
starcas	Star Castle	lr-mame	o	o	o	o	o	Download/install samples
starcrus	Star Cruiser	lr-mame2016	o	o	o	o	o	Download/install samples
starfigh	Star Fighter	lr-fbneo	o	o	o	o	o	
starfir2	Star Fire 2	lr-mame2016	o	o	o	o	o	Use starfire samples
starfire	Star Fire	lr-mame2016	o	o	o	o	o	Use starfire samples
starforc	Star Force	lr-fbneo	o	o	o	o	o	Clone: (megaforc)
stargate	Stargate	lr-fbneo	o	o	o	o	o	
starglad	Star Gladiator	lr-mame2016	x	o	o	o	o	Runs remarkably well with 2016
stargrds	Star Guards	lr-fbneo	o	o	o	o	o	A 30fps game
starhawk	Star Hawk	lr-mame	o	o	o	o	o	Download/install samples
starjack	Star Jacker	lr-fbneo	o	o	o	o	o	Cool, simple shooter
starlstr	Vs. Star Luster	lr-mame2016	o	o	o	o	o	
starshp1	Starship 1	lr-mame2016	o	o	o	o	tb	
starswep	Star Sweep	lr-mame2010	x	o	o	o	o	lr-mame and 2016: Can't add credits. 2015 too slow. 2010 wins.
startrek	Star Trek	lr-mame	o	o	o	o	o	
starwars	Star Wars	lr-mame	o	o	o	o	o	Plays great. Use a mouse/trackball to simulate the arcade controller.
statriv2	Triv Two	lr-mame	o	o	o	o	o	
statriv4	Triv Four	lr-mame	o	o	o	o	o	
stdragon	Saint Dragon	lr-fbneo	o	o	o	o	o	
stealsee	[Adult] Steal See	lr-fbneo	o	o	o	o	o	
steeltal	Steel Talons	lr-mame2010	!	x	o	o	?	About 55-57 FPS with 2010. Will need to tweak controls.
steelwkr	Steel Worker	lr-mame2016	o	o	o	o	o	
stg	S.T.G Strike Gunner	lr-fbneo	o	o	o	o	o	
stinger	Stinger	lr-fbneo	o	o	o	o	o	Download/install samples
stkclmns	Stack Columns	lr-mame2016	o	o	o	o	o	
stlforce	Steel Force	lr-fbneo	o	o	o	o	o	
stmblade	Storm Blade	lr-fbneo	o	o	o	o	o	Visco Shooter
stocker	Stocker	lr-mame2016	o	o	o	o	o	Bally Sente
stoffy	Super Toffy	lr-mame2016	o	o	o	o	o	Boulderdash clone
stompin	Stompin'	lr-mame2016	o	o	o	o	kb	Bally Sente (default configured for numKeys - can remap)
stonebal	Stone Ball	lr-fbneo	o	o	o	o	o	Art & Magic game
strahl	Koutetsu Yousai Strahl	lr-fbneo	o	o	o	o	o	
stratab	Strata Bowling	lr-mame2016	o	o	o	o	tb	
stratgyx	Strategy X	lr-fbneo	o	o	o	o	o	Clone (stratgys, strongx)
stratof	Strato Fighter	lr-fbneo	o	o	o	o	o	Clone: (raiga)
stratvox	Stratovox	lr-fbneo	o	o	o	o	o	Has correct voice! Speak & Rescue does not
streakng	[Adult] Streaking	lr-fbneo	o	o	o	o	o	
streetsm	Street Smart	lr-fbneo	o	o	o	o	o	
strhoop	Street Slam	lr-fbneo	o	o	o	o	o	NEO-GEO; US "Street Slam"; EU "Street Hoops"
strider	Strider	lr-fbneo	o	o	o	o	o	Excellent
strider2	Strider 2	lr-mame2010	x	-	o	o	o	2010 performs best on Pi4. A hair below framerate sometimes, but plays fine
strkfgtr	Strike Fighter	lr-fbneo	o	o	o	o	o	
strkforc	Strike Force	lr-fbneo	x	o	o	o	o	Clearly inspired by Williams' Defender
strkzone	Strike Zone Baseball	lr-mame2016	o	o	o	o	x	Can share controller settings with "World Series"
strnskil	Strength & Skill	lr-fbneo	o	o	o	o	o	Clone: (guiness)
strtdriv	[Proto] Street Drivin'	advmame	!	o	o	x	o	No audio. Will need to tweak analog controls. Set magnification 2
strtheat	Street Heat	lr-mame2016	o	o	o	o	?	Seems erratic. By design? Need 2016 for audio
strvmstr	Super Trivia Master	lr-fbneo	o	o	o	o	o	
stunrun	S.T.U.N. Runner	lr-mame2016	x	o	o	o	o	
stuntair	Stunt Air	lr-fbneo	o	o	o	o	o	
sub	Submarine	lr-fbneo	o	o	o	-	o	No explosion sounds with any capable emulator
subroc3d	Subroc-3D	lr-fbneo	o	o	o	o	-	Set for unlimited Subs? Swap Left and Right controls. Feels better this way with a controller. Actual arcade used a parascope. Up/Down "sticks" a little. Sometimes can't move up unless you first move all the way down. Download/install samples
subs	Subs	lr-mame2016	o	o	o	o	o	
sucasino	Super Casino	lr-fbneo	o	o	o	o	o	
suikoenb	Outlaws of the Lost Dynasty	advmame	x	o	o	o	o	Sega Titan. Only runs well with advmame
sunaq	[Quiz] SunA Quiz 6000 Academy	lr-fbneo	o	o	o	o	o	
sundance	Sundance	lr-mame	o	o	o	o	kb	Keyboard recommended: RTY, FGH, VBN; SPACE to toggle grid Download/install samples
supbtime	Super Burger Time	lr-fbneo	o	o	o	o	o	
supduck	Super-Duck	lr-fbneo	o	o	o	o	o	
superbar	[Adult] Super Bar	lr-fbneo	o	o	o	o	o	
superbik	Superbike	lr-mame2016	o	o	o	o	o	
superbon	Agent Super Bond	lr-fbneo	o	o	o	o	o	
superbug	Super Bug	lr-mame2016	o	o	o	o	o	Will need to remap default controls, or be forced to use keyboard to shift gears
superchs	Super Chase	lr-fbneo	o	o	o	o	o	
supergm3	Super Game III	lr-mame2016	o	o	o	o	o	Nintendo games
superman	Superman	lr-fbneo	o	o	o	o	o	
superpac	Super Pac-Man	lr-fbneo	o	o	o	o	o	
superspy	Super Spy, The	lr-fbneo	o	o	o	o	o	NEO-GEO
superten	Super Ten (v8.3)	lr-mame2016	o	o	o	o	o	fbneo eventually freezes. Using 2016 instead
supertnk	Super Tank	lr-mame2016	o	o	o	o	o	
superx	Super-X	lr-fbneo	o	o	o	o	o	
suplup	[Adult] Super Lup Lup Puzzle	lr-fbneo	o	o	o	o	o	Clone: (puzlbang)
supmodel	[Adult] Super Model	lr-fbneo	o	o	o	o	o	
suprglob	Super Glob	lr-fbneo	o	o	o	o	o	Clone: (theglob)(sprglobp)
suprgolf	Super Crowns Golf	lr-mame2016	o	o	o	o	?	Not sure how this works. Can get the club to swing, but howww?
suprleag	Super League	lr-fbneo	o	o	o	o	?	No speed control in menus. Funky controls. Not sure if they're ideal.
suprloco	Super Locomotive	lr-fbneo	o	o	o	o	o	
suprmous	Super Mouse	lr-fbneo	o	o	o	o	o	Clone (funnymou)
suprmrio	Vs. Super Mario Bros.	lr-mame2016	o	o	o	o	o	
suprridr	Super Rider	lr-fbneo	o	o	o	o	o	
suprslam	Super Slams	lr-mame2016	o	o	o	o	o	
suprtrio	Super Trio	lr-fbneo	o	o	o	o	o	
supxevs	Vs. Super Xevious	lr-mame2016	o	o	o	o	o	
suratk	Surprise Attack	lr-fbneo	o	o	o	o	o	
survarts	Survival Arts	lr-fbneo	o	o	o	o	o	
survival	Survival	lr-mame	o	o	o	o	o	2016 has minor audio popping
susume	Susume! Taisen Puzzle-Dama	lr-mame2016	x	o	o	o	o	Puyo Puyo game with large, useless CHD
sutapper	Tapper (Suntory)	lr-fbneo	o	o	o	o	o	
suzuk8h2	Suzuka 8 Hours 2	lr-mame2016	x	o	x	x	o	Bad engine audio. Graphic artifacts throughout
suzuka8h	Suzuka 8 Hours	lr-mame2016	o	o	o	x	o	Bad engine audio.
svc	SNK vs. Capcom: SVC Chaos	lr-fbneo	o	o	o	o	o	NEO-GEO Clone: (svcboot)(svcplus)(svcsplus)
svf	Super Visual Football	lr-mame2016	o	o	o	o	o	
svg	S.V.G. Spectral Vs Generation	lr-fbneo	o	o	o	o	o	
svolley	Super Volleyball	lr-fbneo	o	o	o	o	o	
swarm	Galaxian (Hack: Swarm)	lr-fbneo	o	o	o	o	o	Clone: Astrians (astrians).
swat	SWAT	lr-fbneo	o	o	o	o	o	
swatpolc	SWAT Police	lr-fbneo	o	o	o	o	o	
swcourt	Super World Court	lr-mame2010	o	o	o	o	o	namcona1.c driver does not work with lr-mame or lr-mame2016 (black screen)
swimmer	Swimmer	lr-fbneo	o	o	o	o	o	
sws	Super World Stadium	lr-fbneo	o	o	o	o	o	
sws92	Super World Stadium '92	lr-fbneo	o	o	o	o	o	
sws93	Super World Stadium '93	lr-fbneo	o	o	o	o	o	
sws95	Super World Stadium '95	lr-mame2010	o	o	o	o	o	
sws96	Super World Stadium '96	lr-mame2010	o	o	o	o	o	
sws97	Super World Stadium '97	lr-mame2010	o	o	o	x	o	
sws98	Super World Stadium '98	lr-mame2016	!	!	o	o	o	Newer engine for this game requires newer MAMEs, which are slow
sws99	Super World Stadium '99	lr-mame2016	!	!	o	o	o	Newer engine for this game requires newer MAMEs, which are slow
sxevious	Super Xevious	lr-fbneo	o	o	o	o	o	
sxyreac2	[Adult] Pachinko Sexy Reaction 2	lr-fbneo	o	o	o	o	o	
sxyreact	[Adult] Pachinko Sexy Reaction	lr-fbneo	o	o	o	o	o	
syvalion	Syvalion	lr-fbneo	o	o	o	o	o	
szaxxon	Super Zaxxon	lr-fbneo	o	o	o	o	o	
tacscan	Tac/Scan	lr-mame	o	o	o	o	o	
tactcian	Tactician	lr-fbneo	o	o	o	o	o	
